(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601736) (0.0434435, 2.48427) (-0.343406, 2.88562) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601715) (0.0434507, 2.48427) (-0.336415, 2.89211) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601714) (0.0434399, 2.48428) (-0.329117, 2.8981) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601701) (0.0434061, 2.48428) (-0.32383, 2.90315) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601743) (0.0435596, 2.48426) (-0.316354, 2.90801) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601754) (0.0434617, 2.48426) (-0.310416, 2.91144) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601693) (0.0434061, 2.48427) (-0.302609, 2.91748) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.60172) (0.0434526, 2.48426) (-0.299515, 2.91981) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601707) (0.0434225, 2.48426) (-0.295551, 2.92231) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601731) (0.0434143, 2.48427) (-0.295513, 2.9239) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601741) (0.0434186, 2.48427) (-0.292553, 2.92539) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40579, 0.601756) (0.0434326, 2.48427) (-0.289906, 2.92698) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40579, 0.601674) (0.0434423, 2.48427) (-0.286643, 2.92829) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601701) (0.0434135, 2.48427) (-0.282793, 2.93005) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.6017) (0.0434631, 2.48427) (-0.283478, 2.93052) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601724) (0.0434544, 2.48428) (-0.283386, 2.93103) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.60171) (0.0434642, 2.48427) (-0.282468, 2.93283) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601715) (0.0434261, 2.48426) (-0.280598, 2.93417) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601718) (0.0434108, 2.48426) (-0.27997, 2.93472) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601715) (0.0434357, 2.48429) (-0.278957, 2.93428) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601709) (0.0434512, 2.48426) (-0.269217, 2.93349) 
